,5,Fabijoniškių,Vilniaus miesto,Mokyklos,Fabijoniškių,4331,,4331
,5,Fabijoniškių,Vilniaus miesto,P. Žadeikos,Fabijoniškių,2162,,2162
,5,Fabijoniškių,Vilniaus miesto,Rugių,Fabijoniškių,4472,,4472
,5,Fabijoniškių,Vilniaus miesto,S. Neries,Fabijoniškių,4131,,4131
,5,Fabijoniškių,Vilniaus miesto,S. Stanevičiaus,Fabijoniškių,3940,,3940
,6,Šeškinės,Vilniaus miesto,Čiobiškio,Šeškinės,3249,,3249
,6,Šeškinės,Vilniaus miesto,Dūkštų,Šeškinės,2646,,2646
,6,Šeškinės,Vilniaus miesto,Gelvonų,Šeškinės,3861,,3861
,6,Šeškinės,Vilniaus miesto,Jovaro,Šeškinės,3801,,3801
,6,Šeškinės,Vilniaus miesto,Lūžių,Šeškinės,2741,,2741
,6,Šeškinės,Vilniaus miesto,Musninkų,Šeškinės,3697,,3697
,6,Šeškinės,Vilniaus miesto,Paberžės,Šeškinės,3654,,3654
,6,Šeškinės,Vilniaus miesto,Sietuvos,Justiniškių,,3232,3232
,6,Šeškinės,Vilniaus miesto,Statybininkų,Šeškinės,3245,,3245
,6,Šeškinės,Vilniaus miesto,Šeškinės,Šeškinės,2296,,2296
,6,Šeškinės,Vilniaus miesto,Tujų,Karoliniškių,,2761,2761
,6,Šeškinės,Vilniaus miesto,Ukmergės,Šeškinės,3351,,3351
,6,Šeškinės,Vilniaus miesto,Žygimanto Augusto,Šeškinės,2182,,2182
,7,Justiniškių,Vilniaus miesto,Gabijos,Justiniškių,3981,,3981
,7,Justiniškių,Vilniaus miesto,Justiniškių,Justiniškių,4002,,4002
,7,Justiniškių,Vilniaus miesto,M. Biržiškos,Justiniškių,3772,,3772
,7,Justiniškių,Vilniaus miesto,Medeinos,Justiniškių,4503,,4503
,7,Justiniškių,Vilniaus miesto,Pašilaičių,Justiniškių,4386,,4386
,7,Justiniškių,Vilniaus miesto,Pavilnionių,Fabijoniškių,,5095,5095
,7,Justiniškių,Vilniaus miesto,Rygos,Justiniškių,3602,,3602
,7,Justiniškių,Vilniaus miesto,Taikos,Justiniškių,4225,,4225
,7,Justiniškių,Vilniaus miesto,Tarandės,Fabijoniškių,,1130,1130
,7,Justiniškių,Vilniaus miesto,Viršuliškių,Šeškinės,,2743,2743
,7,Justiniškių,Vilniaus miesto,Žemynos,Justiniškių,4339,,4339
,8,Karoliniškių,Vilniaus miesto, I. Kanto,Karoliniškių,2949,,2949
,8,Karoliniškių,Vilniaus miesto,A. J. Povilaičio,Karoliniškių,2299,,2299
,8,Karoliniškių,Vilniaus miesto,A. P. Kavoliuko,Karoliniškių,2885,,2885
,8,Karoliniškių,Vilniaus miesto,D. Gerbutavičiaus,Karoliniškių,1611,,1611
,8,Karoliniškių,Vilniaus miesto,Įsruties,Justiniškių,,3703,3703
,8,Karoliniškių,Vilniaus miesto,Kriaučiūnų,Karoliniškių,572,,572
,8,Karoliniškių,Vilniaus miesto,L. Asanavičiūtės,Karoliniškių,3485,,3485
,8,Karoliniškių,Vilniaus miesto,Laisvės,Karoliniškių,2735,,2735
,8,Karoliniškių,Vilniaus miesto,Mokslo,Šeškinės,,3297,3297
,8,Karoliniškių,Vilniaus miesto,Papilėnų,Karoliniškių,3162,,3162
