 1.  Angirių	1	Saulius GRINKEVIČIUS	-	13	24	11	0.8461538461538461		Nijolė NAUJOKIENĖ	-	60	55	-5	-0.38461538461538464
 2.  Aristavos	1	Saulius GRINKEVIČIUS	-	113	138	25	0.22123893805309736		Nijolė NAUJOKIENĖ	-	118	87	-31	-0.2743362831858407
 3.  Ažytėnų	1	Saulius GRINKEVIČIUS	-	50	87	37	0.74		Nijolė NAUJOKIENĖ	-	97	70	-27	-0.54
 4.  Babėnų	1	Saulius GRINKEVIČIUS	-	416	676	260	0.625		Nijolė NAUJOKIENĖ	-	450	337	-113	-0.27163461538461536
 5.  Beinaičių	1	Saulius GRINKEVIČIUS	-	21	73	52	2.4761904761904763		Nijolė NAUJOKIENĖ	-	148	137	-11	-0.5238095238095238
 6.  Vikaičių	1	Saulius GRINKEVIČIUS	-	14	65	51	3.642857142857143		Nijolė NAUJOKIENĖ	-	129	104	-25	-1.7857142857142858
 7.  Dotnuvos	1	Saulius GRINKEVIČIUS	-	164	289	125	0.7621951219512195		Nijolė NAUJOKIENĖ	-	231	165	-66	-0.4024390243902439
 8.  Gudžiūnų	1	Saulius GRINKEVIČIUS	-	30	99	69	2.3		Nijolė NAUJOKIENĖ	-	129	96	-33	-1.1
 9.  Josvainių	1	Saulius GRINKEVIČIUS	-	260	377	117	0.45		Nijolė NAUJOKIENĖ	-	341	313	-28	-0.1076923076923077
 10.  Kalnaberžės	1	Saulius GRINKEVIČIUS	-	102	148	46	0.45098039215686275		Nijolė NAUJOKIENĖ	-	113	88	-25	-0.24509803921568626
 11.  Kaplių	1	Saulius GRINKEVIČIUS	-	19	43	24	1.263157894736842		Nijolė NAUJOKIENĖ	-	78	79	1	0.05263157894736842
 12.  Keleriškių	1	Saulius GRINKEVIČIUS	-	89	125	36	0.4044943820224719		Nijolė NAUJOKIENĖ	-	139	99	-40	-0.449438202247191
