44. Šiaulių miesto	0		Artūras VISOCKAS	Visuomeninis rinkimų komitetas „Artūro Visocko nepartinis sąrašas“	6032	18342	12310		Valerijus SIMULIK	Visuomeninis rinkimų komitetas „Valerijaus Simulik judėjimas „Už Šiaulius“	5589	8460	2871
45. Šiaulių rajono	0		Antanas BEZARAS	Lietuvos valstiečių ir žaliųjų sąjunga	5034	6212	1178		Algimantas GAUBAS	Lietuvos socialdemokratų partija	2929	3494	565
46. Šilalės rajono	0		Jonas GUDAUSKAS	Tėvynės sąjunga - Lietuvos krikščionys demokratai	4080	4519	439		Vytautas JUCIUS	Partija Tvarka ir teisingumas	2858	4482	1624
47. Šilutės rajono	0		Vytautas LAURINAITIS	Partija Tvarka ir teisingumas	4405	6863	2458		Arvydas JAKAS	Lietuvos laisvės sąjunga (liberalai)	2866	5594	2728
48. Širvintų rajono	0		Živilė PINSKUVIENĖ	Darbo partija	3861	2420	-1441		Andrius JOZONIS	Lietuvos socialdemokratų partija	1152	2094	942
49. Švenčionių rajono	1		Rimantas KLIPČIUS	Lietuvos laisvės sąjunga (liberalai)	2557	5258	2701		Vytautas VIGELIS	Darbo partija	4138	4449	311
50. Tauragės rajono	1		Sigitas MIČIULIS	Lietuvos Respublikos liberalų sąjūdis	7336	9571	2235		Pranas PETROŠIUS	Lietuvos socialdemokratų partija	7558	7692	134
51. Telšių rajono	0		Vytautas KLEIVA	Lietuvos socialdemokratų partija	6116	7345	1229		Almantas LUKAVIČIUS	Partija Tvarka ir teisingumas	2488	4094	1606
53. Ukmergės rajono	0		Rolandas JANICKAS	Darbo partija	3904	7317	3413		Juozas VARŽGALYS	Lietuvos valstiečių ir žaliųjų sąjunga	3102	4657	1555
55. Varėnos rajono	0		Algis KAŠĖTA	Lietuvos Respublikos liberalų sąjūdis	6272	5611	-661		Vidas MIKALAUSKAS	Lietuvos socialdemokratų partija	4343	3530	-813
57. Vilniaus miesto	0		Remigijus ŠIMAŠIUS	Lietuvos Respublikos liberalų sąjūdis	75181	89345	14164		Artūras ZUOKAS	Lietuvos laisvės sąjunga (liberalai)	39970	55271	15301
59. Visagino	0		Dalia ŠTRAUPAITĖ	Lietuvos laisvės sąjunga (liberalai)	3514	4636	1122		Vitalius BESAKIRSKAS	Lietuvos rusų sąjunga	1577	3933	2356
60. Zarasų rajono	0		Nikolajus GUSEVAS	Lietuvos socialdemokratų partija	2023	3342	1319		Daiva KELEČIENĖ	Visuomeninis rinkimų komitetas „Švari savivalda“	1665	2550	885
